time;SSE;E;S;W;SSW;EW
20210101:0010;0;0;0;0;0;0
20210101:0110;0;0;0;0;0;0
20210101:0210;0;0;0;0;0;0
20210101:0310;0;0;0;0;0;0
20210101:0410;0;0;0;0;0;0
20210101:0510;0;0;0;0;0;0
20210101:0610;0;0;0;0;0;0
20210101:0710;0;0;0;0;0;0
20210101:0810;12.98;11.01;10.51;4.01;6.83;7.51
20210101:0910;216.42;151.01;191.33;40.45;140.74;95.73
20210101:1010;267.61;167.55;257.57;71.19;220.38;119.37
20210101:1110;153.42;111.19;155.36;98.22;148.17;104.705
20210101:1210;142.99;96.04;149.72;108.05;147.85;102.045
20210101:1310;111.21;67.37;121.44;96.73;124.19;82.05
20210101:1410;180.97;36.12;253.21;195.05;288.54;115.585
20210101:1510;9.13;3.95;16.76;17.77;21.91;10.86
20210101:1610;0;0;0;0;0;0
20210101:1710;0;0;0;0;0;0
20210101:1810;0;0;0;0;0;0
20210101:1910;0;0;0;0;0;0
20210101:2010;0;0;0;0;0;0
20210101:2110;0;0;0;0;0;0
20210101:2210;0;0;0;0;0;0
20210101:2310;0;0;0;0;0;0
20210102:0010;0;0;0;0;0;0
20210102:0110;0;0;0;0;0;0
20210102:0210;0;0;0;0;0;0
20210102:0310;0;0;0;0;0;0
20210102:0410;0;0;0;0;0;0
20210102:0510;0;0;0;0;0;0
20210102:0610;0;0;0;0;0;0
20210102:0710;0;0;0;0;0;0
20210102:0810;3.39;3.39;3.39;2.98;3.39;3.185
20210102:0910;36.99;35.27;36.32;29.98;34.98;32.625
20210102:1010;54.72;52.92;54.53;47.63;53.85;50.275
20210102:1110;56.11;56.11;56.11;56.11;56.11;56.11
20210102:1210;83;75.54;84.07;77.43;83.76;76.485
20210102:1310;72.42;57.43;75.2;68.45;75.94;62.94
20210102:1410;37.06;29.58;39.66;37.55;40.96;33.565
20210102:1510;2.25;1.94;2.25;2.25;2.25;2.095
20210102:1610;0;0;0;0;0;0
20210102:1710;0;0;0;0;0;0
20210102:1810;0;0;0;0;0;0
20210102:1910;0;0;0;0;0;0
20210102:2010;0;0;0;0;0;0
20210102:2110;0;0;0;0;0;0
20210102:2210;0;0;0;0;0;0
20210102:2310;0;0;0;0;0;0
20210103:0010;0;0;0;0;0;0
20210103:0110;0;0;0;0;0;0
20210103:0210;0;0;0;0;0;0
20210103:0310;0;0;0;0;0;0
20210103:0410;0;0;0;0;0;0
20210103:0510;0;0;0;0;0;0
20210103:0610;0;0;0;0;0;0
20210103:0710;0;0;0;0;0;0
20210103:0810;76.85;60.61;55.71;5.12;24.12;32.865
20210103:0910;348.8;233.7;304.03;31.98;212.83;132.84
20210103:1010;108.32;88.93;106.27;66.39;98.91;77.66
20210103:1110;26.5;26.5;26.5;26.5;26.5;26.5
20210103:1210;26.46;26.46;26.46;26.46;26.46;26.46
20210103:1310;23.36;21.53;23.36;23.36;23.36;22.445
20210103:1410;49;35.62;54.4;49.98;57.11;42.8
20210103:1510;0;0;0;0;0;0
20210103:1610;0;0;0;0;0;0
20210103:1710;0;0;0;0;0;0
20210103:1810;0;0;0;0;0;0
20210103:1910;0;0;0;0;0;0
20210103:2010;0;0;0;0;0;0
20210103:2110;0;0;0;0;0;0
20210103:2210;0;0;0;0;0;0
20210103:2310;0;0;0;0;0;0
20210104:0010;0;0;0;0;0;0
20210104:0110;0;0;0;0;0;0
20210104:0210;0;0;0;0;0;0
20210104:0310;0;0;0;0;0;0
20210104:0410;0;0;0;0;0;0
20210104:0510;0;0;0;0;0;0
20210104:0610;0;0;0;0;0;0
20210104:0710;0;0;0;0;0;0
20210104:0810;2.28;2.28;2.28;1.96;2.28;2.12
20210104:0910;68.32;57.5;63.99;36.58;55.48;47.04
20210104:1010;207.19;140.52;200.08;73.69;174.69;107.105
20210104:1110;29.62;29.62;29.62;29.62;29.62;29.62
20210104:1210;28.79;28.79;28.79;28.79;28.79;28.79
20210104:1310;23.33;23.33;23.33;23.33;23.33;23.33
20210104:1410;41.11;33.33;43.7;41.57;44.98;37.45
20210104:1510;43.33;5.66;101.72;108.79;139.54;57.225
20210104:1610;0;0;0;0;0;0
20210104:1710;0;0;0;0;0;0
20210104:1810;0;0;0;0;0;0
20210104:1910;0;0;0;0;0;0
20210104:2010;0;0;0;0;0;0
20210104:2110;0;0;0;0;0;0
20210104:2210;0;0;0;0;0;0
20210104:2310;0;0;0;0;0;0
20210105:0010;0;0;0;0;0;0
20210105:0110;0;0;0;0;0;0
20210105:0210;0;0;0;0;0;0
20210105:0310;0;0;0;0;0;0
20210105:0410;0;0;0;0;0;0
20210105:0510;0;0;0;0;0;0
20210105:0610;0;0;0;0;0;0
20210105:0710;0;0;0;0;0;0
20210105:0810;0;0;0;0;0;0
20210105:0910;21.18;21.18;21.18;19.5;21.18;20.34
20210105:1010;44.27;44.27;44.27;41.08;44.27;42.675
20210105:1110;23.37;23.37;23.37;23.37;23.37;23.37
20210105:1210;22.58;22.58;22.58;22.58;22.58;22.58
20210105:1310;20.29;20.29;20.29;20.29;20.29;20.29
20210105:1410;13.69;12.52;13.69;13.69;13.69;13.105
20210105:1510;2.78;2.42;2.78;2.78;2.78;2.6
20210105:1610;0;0;0;0;0;0
20210105:1710;0;0;0;0;0;0
20210105:1810;0;0;0;0;0;0
20210105:1910;0;0;0;0;0;0
20210105:2010;0;0;0;0;0;0
20210105:2110;0;0;0;0;0;0
20210105:2210;0;0;0;0;0;0
20210105:2310;0;0;0;0;0;0
20210106:0010;0;0;0;0;0;0
20210106:0110;0;0;0;0;0;0
20210106:0210;0;0;0;0;0;0
20210106:0310;0;0;0;0;0;0
20210106:0410;0;0;0;0;0;0
20210106:0510;0;0;0;0;0;0
20210106:0610;0;0;0;0;0;0
20210106:0710;0;0;0;0;0;0
20210106:0810;3.34;3.34;3.34;2.93;3.34;3.135
20210106:0910;165.5;121.3;147.46;42.62;112;81.96
20210106:1010;94.77;81.74;93.33;64.7;88.28;73.22
20210106:1110;58.34;58.34;58.34;58.34;58.34;58.34
20210106:1210;57.5;57.5;57.5;57.5;57.5;57.5
20210106:1310;24.12;24.12;24.12;24.12;24.12;24.12
20210106:1410;28.02;25.89;28.02;28.02;28.02;26.955
20210106:1510;9.1;6.25;12.22;12.58;14.26;9.415
20210106:1610;0;0;0;0;0;0
20210106:1710;0;0;0;0;0;0
20210106:1810;0;0;0;0;0;0
20210106:1910;0;0;0;0;0;0
20210106:2010;0;0;0;0;0;0
20210106:2110;0;0;0;0;0;0
20210106:2210;0;0;0;0;0;0
20210106:2310;0;0;0;0;0;0
20210107:0010;0;0;0;0;0;0
20210107:0110;0;0;0;0;0;0
20210107:0210;0;0;0;0;0;0
20210107:0310;0;0;0;0;0;0
20210107:0410;0;0;0;0;0;0
20210107:0510;0;0;0;0;0;0
20210107:0610;0;0;0;0;0;0
20210107:0710;0;0;0;0;0;0
20210107:0810;0;0;0;0;0;0
20210107:0910;45.38;42.06;44;33.59;41.32;37.825
20210107:1010;135.65;105.34;132.23;71.42;120.42;88.38
20210107:1110;32.89;32.89;32.89;32.89;32.89;32.89
20210107:1210;85.62;78.41;86.63;80.12;86.31;79.265
20210107:1310;69.66;61.4;71.62;66.75;72.13;64.075
20210107:1410;41.82;34.12;44.28;42.23;45.5;38.175
20210107:1510;9.05;6.25;12.03;12.38;13.98;9.315
20210107:1610;0;0;0;0;0;0
20210107:1710;0;0;0;0;0;0
20210107:1810;0;0;0;0;0;0
20210107:1910;0;0;0;0;0;0
20210107:2010;0;0;0;0;0;0
20210107:2110;0;0;0;0;0;0
20210107:2210;0;0;0;0;0;0
20210107:2310;0;0;0;0;0;0
20210108:0010;0;0;0;0;0;0
20210108:0110;0;0;0;0;0;0
20210108:0210;0;0;0;0;0;0
20210108:0310;0;0;0;0;0;0
20210108:0410;0;0;0;0;0;0
20210108:0510;0;0;0;0;0;0
20210108:0610;0;0;0;0;0;0
20210108:0710;0;0;0;0;0;0
20210108:0810;0.03;0.03;0.03;0;0.03;0.015
20210108:0910;5.74;5.74;5.74;5.15;5.74;5.445
20210108:1010;40.47;40.47;40.47;37.53;40.47;39
20210108:1110;37.97;37.97;37.97;37.97;37.97;37.97
20210108:1210;37.07;37.07;37.07;37.07;37.07;37.07
20210108:1310;28.17;28.17;28.17;28.17;28.17;28.17
20210108:1410;13.76;12.58;13.76;13.76;13.76;13.17
20210108:1510;0.02;0;0.02;0.02;0.02;0.01
20210108:1610;0;0;0;0;0;0
20210108:1710;0;0;0;0;0;0
20210108:1810;0;0;0;0;0;0
20210108:1910;0;0;0;0;0;0
20210108:2010;0;0;0;0;0;0
20210108:2110;0;0;0;0;0;0
20210108:2210;0;0;0;0;0;0
